donchian_n,chand,ema,short,ret,maxdd,pf,sharpe,trades,win
30,2.5,50/100,True,21.16,-8.9,1.38,0.55,150,36.7
30,2.5,50/100,False,40.0,-7.89,1.83,0.94,118,41.5
30,2.5,80/140,True,35.79,-8.27,1.67,0.81,139,38.8
30,2.5,80/140,False,45.46,-7.99,1.92,0.99,118,42.4
30,2.5,100/200,True,36.38,-7.85,1.67,0.81,137,39.4
30,2.5,100/200,False,45.27,-8.0,1.89,0.98,118,42.4
30,3.0,50/100,True,17.46,-11.38,1.31,0.43,136,36.0
30,3.0,50/100,False,39.16,-11.1,1.79,0.84,105,41.0
30,3.0,80/140,True,30.77,-11.78,1.57,0.66,125,37.6
30,3.0,80/140,False,44.7,-10.98,1.91,0.9,104,42.3
30,3.0,100/200,True,31.32,-10.97,1.57,0.66,123,38.2
30,3.0,100/200,False,48.41,-10.43,1.93,0.93,104,42.3
30,3.5,50/100,True,20.91,-14.04,1.36,0.45,123,37.4
30,3.5,50/100,False,50.53,-11.23,2.01,0.88,93,43.0
30,3.5,80/140,True,32.51,-12.35,1.59,0.62,112,39.3
30,3.5,80/140,False,54.68,-11.24,2.08,0.92,92,43.5
30,3.5,100/200,True,36.55,-11.92,1.64,0.66,110,40.9
30,3.5,100/200,False,53.89,-10.82,2.02,0.9,92,45.7
40,2.5,50/100,True,21.53,-9.02,1.39,0.56,145,35.9
40,2.5,50/100,False,41.93,-7.07,1.91,0.98,113,40.7
40,2.5,80/140,True,37.09,-7.71,1.73,0.86,130,39.2
40,2.5,80/140,False,48.08,-7.59,2.06,1.07,109,43.1
40,2.5,100/200,True,38.1,-7.68,1.73,0.87,127,39.4
40,2.5,100/200,False,49.35,-7.58,2.06,1.08,108,43.5
40,3.0,50/100,True,18.17,-11.61,1.33,0.45,131,35.9
40,3.0,50/100,False,47.12,-10.18,1.99,0.95,100,41.0
40,3.0,80/140,True,31.51,-11.39,1.61,0.69,118,38.1
40,3.0,80/140,False,51.12,-10.16,2.1,1.01,97,43.3
40,3.0,100/200,True,36.94,-10.41,1.69,0.76,115,38.3
40,3.0,100/200,False,52.84,-9.72,2.1,1.01,96,43.8
40,3.5,50/100,True,22.72,-14.13,1.4,0.49,119,37.0
40,3.5,50/100,False,52.67,-10.37,2.1,0.92,89,42.7
40,3.5,80/140,True,32.7,-11.49,1.63,0.65,106,39.6
40,3.5,80/140,False,57.19,-10.33,2.23,0.97,86,44.2
40,3.5,100/200,True,39.78,-10.96,1.74,0.73,103,41.7
40,3.5,100/200,False,57.28,-9.85,2.2,0.97,85,47.1
50,2.5,50/100,True,22.43,-9.41,1.42,0.59,139,35.3
50,2.5,50/100,False,39.45,-8.29,1.9,0.94,111,38.7
50,2.5,80/140,True,31.87,-10.11,1.68,0.79,123,37.4
50,2.5,80/140,False,42.23,-8.16,2.01,1.01,105,40.0
50,2.5,100/200,True,34.42,-8.99,1.72,0.84,119,37.8
50,2.5,100/200,False,44.0,-8.12,2.03,1.03,103,40.8
50,3.0,50/100,True,20.34,-12.26,1.38,0.5,125,34.4
50,3.0,50/100,False,40.37,-11.03,1.9,0.87,98,37.8
50,3.0,80/140,True,29.57,-13.21,1.61,0.68,111,35.1
50,3.0,80/140,False,42.36,-11.07,1.99,0.91,93,38.7
50,3.0,100/200,True,31.44,-12.22,1.64,0.71,107,35.5
50,3.0,100/200,False,46.25,-10.77,2.06,0.97,91,39.6
50,3.5,50/100,True,21.81,-13.5,1.4,0.48,114,37.7
50,3.5,50/100,False,50.8,-11.06,2.13,0.91,87,43.7
50,3.5,80/140,True,30.78,-12.65,1.63,0.64,100,39.0
50,3.5,80/140,False,53.61,-11.21,2.25,0.95,82,43.9
50,3.5,100/200,True,35.02,-12.36,1.71,0.69,96,41.7
50,3.5,100/200,False,55.46,-10.86,2.29,0.98,80,47.5
60,2.5,50/100,True,22.85,-10.0,1.46,0.61,134,35.8
60,2.5,50/100,False,37.77,-8.57,1.95,0.94,107,39.3
60,2.5,80/140,True,32.86,-10.33,1.76,0.83,118,38.1
60,2.5,80/140,False,42.64,-8.35,2.14,1.04,100,41.0
60,2.5,100/200,True,37.37,-9.38,1.87,0.92,113,38.9
60,2.5,100/200,False,44.88,-7.98,2.19,1.08,98,41.8
60,3.0,50/100,True,21.38,-12.48,1.42,0.53,120,33.3
60,3.0,50/100,False,40.0,-11.39,1.97,0.89,94,37.2
60,3.0,80/140,True,30.17,-13.43,1.67,0.7,106,34.9
60,3.0,80/140,False,43.58,-11.24,2.13,0.95,88,38.6
60,3.0,100/200,True,35.13,-12.1,1.8,0.79,101,35.6
60,3.0,100/200,False,45.24,-11.18,2.16,0.98,86,39.5
60,3.5,50/100,True,22.68,-13.55,1.45,0.5,109,37.6
60,3.5,50/100,False,50.99,-10.77,2.23,0.93,83,43.4
60,3.5,80/140,True,32.18,-12.34,1.71,0.67,95,38.9
60,3.5,80/140,False,55.16,-10.76,2.45,0.99,77,44.2
60,3.5,100/200,True,40.48,-12.28,1.9,0.78,90,42.2
60,3.5,100/200,False,57.18,-10.82,2.49,1.02,75,48.0
70,2.5,50/100,True,20.35,-10.6,1.44,0.58,126,35.7
70,2.5,50/100,False,38.88,-8.52,2.02,0.99,100,40.0
70,2.5,80/140,True,33.64,-10.26,1.82,0.88,111,38.7
70,2.5,80/140,False,42.06,-8.69,2.15,1.07,95,41.1
70,2.5,100/200,True,38.34,-9.57,1.94,0.98,106,39.6
70,2.5,100/200,False,43.4,-8.61,2.18,1.09,93,41.9
70,3.0,50/100,True,21.68,-12.83,1.44,0.55,112,33.9
70,3.0,50/100,False,41.84,-11.38,2.05,0.94,87,37.9
70,3.0,80/140,True,32.06,-13.32,1.74,0.76,99,35.4
70,3.0,80/140,False,43.47,-11.2,2.15,0.98,83,38.6
70,3.0,100/200,True,36.29,-12.47,1.86,0.84,94,36.2
70,3.0,100/200,False,44.62,-11.25,2.18,1.0,81,39.5
70,3.5,50/100,True,25.29,-13.49,1.51,0.56,101,38.6
70,3.5,50/100,False,53.29,-9.28,2.36,0.99,76,44.7
70,3.5,80/140,True,38.02,-11.16,1.86,0.77,88,40.9
70,3.5,80/140,False,56.06,-9.32,2.51,1.03,72,45.8
70,3.5,100/200,True,44.73,-10.83,2.03,0.86,83,43.4
70,3.5,100/200,False,57.2,-9.35,2.54,1.05,70,48.6
